Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
23/01/2019,P3,Kassim,"£2,000",Anne Hegerty,£2,"£32,000","£2,000 =",Caught -1,,Chaser by 0:53,£0,,12
23/01/2019,P4,Gina,"£4,000",Anne Hegerty,"-£1,000","£44,000","£4,000 =",Home +3,0 (team 2),Chaser by 0:53,£0,C,12
24/01/2019,P1,Darren,"£4,000",Jenny Ryan,"£1,000","£20,000","£4,000 =",Home +3,1 (team 3),Chaser by 0:33,£0,C,12
24/01/2019,P2,Krysta,"£4,000",Jenny Ryan,"£1,000","£26,000","£4,000 =",Caught -4,,Chaser by 0:33,£0,,12
24/01/2019,P3,June,"£4,000",Jenny Ryan,"£1,000","£34,000","£4,000 =",Home +3,4 (team 3),Chaser by 0:33,£0,C,12
24/01/2019,P4,Reuben,"£4,000",Jenny Ryan,"-£1,000","£42,000","£4,000 =",Home +2,10 (team 3),Chaser by 0:33,£0,C,12
25/01/2019,P1,Dan,"£7,000",Mark Labbett,£700,"£21,000","£7,000 =",Home +2,9 (team 4),Team by 1,"£8,750",T,12
25/01/2019,P2,Andrew,"£1,000",Mark Labbett,£100,"£20,000","£20,000 /\",Home +2,1 (team 4),Team by 1,"£8,750",T,12
25/01/2019,P3,Emily,"£5,000",Mark Labbett,"-£3,000","£25,000","£5,000 =",Home +1,3 (team 4),Team by 1,"£8,750",T,12
25/01/2019,P4,Caroline,"£3,000",Mark Labbett,"-£8,000","£28,000","£3,000 =",Home +3,1 (team 4),Team by 1,"£8,750",T,12
28/01/2019,P1,Russell,"£5,000",Mark Labbett,£600,"£21,000","£5,000 =",Home +1,8 (team 3),Chaser by 0:18,£0,C,12
28/01/2019,P2,Jules,"£7,000",Mark Labbett,"£1,000","£24,000","£7,000 =",Home +2,4 (team 3),Chaser by 0:18,£0,C,12
28/01/2019,P3,Kellie,"£6,000",Mark Labbett,£700,"£35,000","£6,000 =",Caught -1,,Chaser by 0:18,£0,,12
28/01/2019,P4,Piers,"£3,000",Mark Labbett,"-£3,000","£39,000","£3,000 =",Home +4,3 (team 3),Chaser by 0:18,£0,C,12
29/01/2019,P1,Sam,"£5,000",Jenny Ryan,£500,"£25,000","£5,000 =",Home +1,10 (team 2),Chaser by 0:35,£0,C,12
29/01/2019,P2,Rema,"£6,000",Jenny Ryan,"£1,000","£35,000","£35,000 /\",Caught -6,,Chaser by 0:35,£0,,12
29/01/2019,P3,Matthew,"£3,000",Jenny Ryan,£300,"£35,000","£3,000 =",Caught -1,,Chaser by 0:35,£0,,12
29/01/2019,P4,Jo,"£5,000",Jenny Ryan,"£1,000","£55,000","£1,000 \/",Home +3,4 (team 2),Chaser by 0:35,£0,C,12
30/01/2019,P1,Michael,"£10,000",Paul Sinha,"£3,000","£30,000","£10,000 =",Home +2,11 (team 3),Team by 4,"£8,333",T,12
30/01/2019,P2,Ross,"£10,000",Paul Sinha,"£4,000","£40,000","£10,000 =",Home +4,3 (team 3),Team by 4,"£8,333",T,12
30/01/2019,P3,Joel,"£5,000",Paul Sinha,"-£5,000","£50,000","£5,000 =",Home +2,3 (team 3),Team by 4,"£8,333",T,12
30/01/2019,P4,Elizabeth,"£3,000",Paul Sinha,"-£9,000","£55,000","£3,000 =",Caught -4,,Team by 4,£0,,12
31/01/2019,P1,Fiona,"£9,000",Anne Hegerty,"£2,000","£35,000","£9,000 =",Caught -2,,Chaser by 0:11,£0,,12
31/01/2019,P2,Tim,"£7,000",Anne Hegerty,"£1,000","£40,000","£7,000 =",Home +3,9 (team 2),Chaser by 0:11,£0,C,12
31/01/2019,P3,Camille,"£5,000",Anne Hegerty,"£1,000","£50,000","£5,000 =",Caught -2,,Chaser by 0:11,£0,,12
31/01/2019,P4,James,"£8,000",Anne Hegerty,"-£1,000","£63,000","£8,000 =",Home +2,10 (team 2),Chaser by 0:11,£0,C,12
01/02/2019,P1,Alan,"£5,000",Shaun Wallace,"£1,000","£20,000","£5,000 =",Home +3,9 (team 4),Chaser by 0:26,£0,C,12
01/02/2019,P2,Jonika,"£3,000",Shaun Wallace,£300,"£25,000","£3,000 =",Home +3,2 (team 4),Chaser by 0:26,£0,C,12
01/02/2019,P3,Bao,"£4,000",Shaun Wallace,"£1,000","£32,000","£1,000 \/",Home +1,2 (team 4),Chaser by 0:26,£0,C,12
01/02/2019,P4,Sandra,"£2,000",Shaun Wallace,"-£1,000","£41,000","£2,000 =",Home +1,0 (team 4),Chaser by 0:26,£0,C,12
04/02/2019,P1,Jean,"£6,000",Mark Labbett,"£1,000","£20,000","£6,000 =",Home +2,5 (team 2),Chaser by 0:15,£0,C,12
04/02/2019,P2,Callum,"£8,000",Mark Labbett,"£2,000","£30,000","£8,000 =",Home +2,7 (team 2),Chaser by 0:15,£0,C,12
04/02/2019,P3,Afua,"£4,000",Mark Labbett,"-£1,000","£36,000","£4,000 =",Caught -3,,Chaser by 0:15,£0,,12
04/02/2019,P4,Dafydd,"£4,000",Mark Labbett,"-£2,000","£46,000","£4,000 =",Caught -4,,Chaser by 0:15,£0,,12
05/02/2019,P1,Les,"£6,000",Shaun Wallace,"£1,000","£24,000","£6,000 =",Home +1,15 (team 2),Team by 1,"£5,000",T,12
05/02/2019,P2,Ada,"£5,000",Shaun Wallace,"£1,000","£30,000","£1,000 \/",Caught -1,,Team by 1,£0,,12
05/02/2019,P3,Candice,"£6,000",Shaun Wallace,"£1,000","£36,000","£6,000 =",Caught -3,,Team by 1,£0,,12
05/02/2019,P4,Graham,"£4,000",Shaun Wallace,"-£1,000","£44,000","£4,000 =",Home +1,3 (team 2),Team by 1,"£5,000",T,12
06/02/2019,P1,Peter,"£4,000",Anne Hegerty,£400,"£24,000","£4,000 =",Home +3,3 (team 3),Chaser by 0:43,£0,C,12
06/02/2019,P2,Amber,"£2,000",Anne Hegerty,"£1,000","£30,000","£2,000 =",Home +3,1 (team 3),Chaser by 0:43,£0,C,12
06/02/2019,P3,Anjali,"£2,000",Anne Hegerty,"-£1,000","£40,000","£40,000 /\",Caught -2,,Chaser by 0:43,£0,,12
06/02/2019,P4,Lesley,"£5,000",Anne Hegerty,"-£1,000","£54,000","£5,000 =",Home +3,6 (team 3),Chaser by 0:43,£0,C,12
07/02/2019,P1,Will,"£9,000",Paul Sinha,"£3,000","£27,000","£9,000 =",Caught -3,,Chaser by 0:17,£0,,12
07/02/2019,P2,Elsie,"£7,000",Paul Sinha,"£1,000","£30,000","£7,000 =",Home +3,3 (team 2),Chaser by 0:17,£0,C,12
07/02/2019,P3,Chris,"£8,000",Paul Sinha,"£1,000","£40,000","£8,000 =",Home +1,13 (team 2),Chaser by 0:17,£0,C,12
07/02/2019,P4,Sophie,"£2,000",Paul Sinha,"-£3,000","£60,000","£2,000 =",Caught -3,,Chaser by 0:17,£0,,12
08/02/2019,P1,Nicola,"£5,000",Jenny Ryan,"£1,000","£25,000","£5,000 =",Caught -3,,Team by 10,£0,,12
08/02/2019,P2,Irfan,"£3,000",Jenny Ryan,"£1,000","£30,000","£3,000 =",Caught -2,,Team by 10,£0,,12
08/02/2019,P3,Louie,"£5,000",Jenny Ryan,"£1,000","£50,000","£5,000 =",Caught -1,,Team by 10,£0,,12
08/02/2019,P4,Judith,"£7,000",Jenny Ryan,"£1,000","£70,000","£70,000 /\",Home +2,19 (solo),Team by 10,"£70,000",T,12
11/02/2019,P1,Rob,"£3,000",Anne Hegerty,£300,"£23,000","£23,000 /\",Caught -3,,Chaser by 0:42,£0,C,12
11/02/2019,P2,Claire,"£6,000",Anne Hegerty,"£1,000","£36,000","£6,000 =",Caught -2,14 (solo ✝),Chaser by 0:42,£0,C,12
11/02/2019,P3,Charles,"£4,000",Anne Hegerty,"£1,000","£50,000","£50,000 /\",Caught -4,,Chaser by 0:42,£0,C,12
11/02/2019,P4,Barbara,"£3,000",Anne Hegerty,"£1,000","£100,000","£100,000 /\",Caught -6,,Chaser by 0:42,£0,C,12
12/02/2019,P1,Matt,"£5,000",Mark Labbett,"£1,000","£20,000","£5,000 =",Home +4,12 (team 2),Chaser by 0:19,£0,C,12
12/02/2019,P2,Emily,"£7,000",Mark Labbett,£700,"£30,000","£7,000 =",Caught -2,,Chaser by 0:19,£0,,12
12/02/2019,P3,Alan,"£4,000",Mark Labbett,"£1,000","£40,000","£4,000 =",Caught -4,,Chaser by 0:19,£0,,12
12/02/2019,P4,Valerie,"£1,000",Mark Labbett,£100,"£55,000","£1,000 =",Home +3,0 (team 2),Chaser by 0:19,£0,C,12
13/02/2019,P1,Richard,"£4,000",Jenny Ryan,£400,"£20,000","£4,000 =",Home +3,3 (team 2),Chaser by 0:22,£0,C,12
13/02/2019,P2,Matilda,"£4,000",Jenny Ryan,"£1,000","£24,000","£4,000 =",Caught -4,,Chaser by 0:22,£0,,12
13/02/2019,P3,Paul,"£8,000",Jenny Ryan,"£2,000","£38,000","£8,000 =",Caught -4,,Chaser by 0:22,£0,,12
13/02/2019,P4,Fiona,"£7,000",Jenny Ryan,"£1,000","£46,000","£7,000 =",Home +3,8 (team 2),Chaser by 0:22,£0,C,12
14/02/2019,P1,Yvonne,"£3,000",Shaun Wallace,"£1,000","£20,000","£3,000 =",Home +3,2 (team 3),Chaser by 0:38,£0,C,12
14/02/2019,P2,Alicia,"£5,000",Shaun Wallace,"£1,000","£30,000","£5,000 =",Caught -3,,Chaser by 0:38,£0,,12
14/02/2019,P3,Luke,"£6,000",Shaun Wallace,"£1,000","£36,000","£6,000 =",Home +2,4 (team 3),Chaser by 0:38,£0,C,12
14/02/2019,P4,Peter,"£6,000",Shaun Wallace,"-£1,000","£51,000","£6,000 =",Home +2,6 (team 3),Chaser by 0:38,£0,C,12
15/02/2019,P1,Ricki,"£7,000",Paul Sinha,"£2,000","£30,000","£7,000 =",Home +2,5 (team 3),Team by 4,"£7,667",T,12
15/02/2019,P2,Will,"£7,000",Paul Sinha,"£1,000","£40,000","£7,000 =",Caught -3,,Team by 4,£0,,12
15/02/2019,P3,Jane,"£6,000",Paul Sinha,"£1,000","£45,000","£6,000 =",Home +3,3 (team 3),Team by 4,"£7,667",T,12
15/02/2019,P4,Victoria,"£10,000",Paul Sinha,"-£1,000","£62,000","£10,000 =",Home +2,10 (team 3),Team by 4,"£7,667",T,12
18/02/2019,P1,Iain,"£5,000",Jenny Ryan,"£1,000","£25,000","£5,000 =",Home +2,6 (team 3),Team by 3,"£5,333",T,12
18/02/2019,P2,Claire,"£6,000",Jenny Ryan,"£1,000","£36,000","£6,000 =",Home +3,7 (team 3),Team by 3,"£5,333",T,12
18/02/2019,P3,Jean,"£1,000",Jenny Ryan,£91,"£44,000","£1,000 =",Caught -3,,Team by 3,£0,,12
18/02/2019,P4,Luke,"£5,000",Jenny Ryan,"-£2,000","£49,000","£5,000 =",Home +5,2 (team 3),Team by 3,"£5,333",T,12
19/02/2019,P1,Rafe,"£1,000",Anne Hegerty,£69,"£20,000","£1,000 =",Caught -3,,Chaser by 0:34,£0,,12
19/02/2019,P2,Liz,"£5,000",Anne Hegerty,"£1,000","£40,000","£5,000 =",Caught -1,,Chaser by 0:34,£0,,12
19/02/2019,P3,Sue,"£4,000",Anne Hegerty,"£1,000","£50,000","£4,000 =",Home +2,9 (team 2),Chaser by 0:34,£0,C,12
19/02/2019,P4,John,"£5,000",Anne Hegerty,"£1,000","£96,000","£5,000 =",Home +3,3 (team 2),Chaser by 0:34,£0,C,12
20/02/2019,P1,Anne,"£5,000",Mark Labbett,£500,"£20,000","£5,000 =",Caught -2,,Chaser by 0:36,£0,,12
20/02/2019,P2,Max,"£3,000",Mark Labbett,£300,"£23,000",£300 \/,Home +3,1 (team 2),Chaser by 0:36,£0,C,12
20/02/2019,P3,Nicki,"£4,000",Mark Labbett,£700,"£30,000","£4,000 =",Caught -3,,Chaser by 0:36,£0,,12
20/02/2019,P4,Wayne,"£6,000",Mark Labbett,-£100,"£49,700","£6,000 =",Home +1,8 (team 2),Chaser by 0:36,£0,C,12
21/02/2019,P1,Gray,"£5,000",Shaun Wallace,"£1,000","£25,000","£25,000 /\",Home +1,11 (team 2),Team by 1,"£10,000",T,12
21/02/2019,P2,Rubee,"£6,000",Shaun Wallace,"£1,000","£32,000","£6,000 =",Caught -5,,Team by 1,£0,,12
21/02/2019,P3,Hazel,"£3,000",Shaun Wallace,"-£2,000","£40,000","£3,000 =",Caught -3,,Team by 1,£0,,12
21/02/2019,P4,Rusty,"£5,000",Shaun Wallace,"-£5,000","£55,000","-£5,000 \/",Home +5,5 (team 2),Team by 1,"£10,000",T,12
22/02/2019,P1,Rob,"£5,000",Paul Sinha,£500,"£25,000","£5,000 =",Home +2,7 (team 3),Chaser by 0:40,£0,C,12
22/02/2019,P2,Zainab,"£1,000",Paul Sinha,£100,"£30,000","£1,000 =",Caught -4,,Chaser by 0:40,£0,,12
22/02/2019,P3,Matt,"£6,000",Paul Sinha,"£1,000","£36,000","£6,000 =",Home +1,8 (team 3),Chaser by 0:40,£0,C,12
22/02/2019,P4,Jean,"£3,000",Paul Sinha,"-£2,000","£49,000","£3,000 =",Home +1,0 (team 3),Chaser by 0:40,£0,C,12
25/02/2019,P1,Jeff,"£7,000",Jenny Ryan,"£1,000","£25,000","£7,000 =",Caught -3,,Chaser by 0:57,£0,,12
25/02/2019,P2,Caz,"£7,000",Jenny Ryan,"£1,000","£30,000","£30,000 /\",Caught -5,,Chaser by 0:57,£0,,12
25/02/2019,P3,Sarah,"£3,000",Jenny Ryan,"£1,000","£40,000","£3,000 =",Home +1,6 (team 2),Chaser by 0:57,£0,C,12
25/02/2019,P4,Wil,"£3,000",Jenny Ryan,"£1,000","£47,000","£1,000 \/",Home +3,4 (team 2),Chaser by 0:57,£0,C,12
26/02/2019,P1,Steev,"£7,000",Paul Sinha,"£1,000","£21,000","£21,000 /\",Home +1,5 (team 4),Chaser by 0:05,£0,C,12
26/02/2019,P2,Ali,"£6,000",Paul Sinha,"-£1,000","£24,000","£6,000 =",Home +4,2 (team 4),Chaser by 0:05,£0,C,12
26/02/2019,P3,Matt,"£6,000",Paul Sinha,"-£2,000","£30,000","£6,000 =",Home +2,6 (team 4),Chaser by 0:05,£0,C,12
26/02/2019,P4,Morwenna,"£8,000",Paul Sinha,"-£3,000","£37,000","£8,000 =",Home +1,5 (team 4),Chaser by 0:05,£0,C,12
27/02/2019,P1,Marlo,"£6,000",Anne Hegerty,£600,"£24,000","£6,000 =",Home +2,5 (team 4),Chaser by 0:25,£0,C,12
27/02/2019,P2,Louisa,"£4,000",Anne Hegerty,"£1,000","£30,000","£4,000 =",Home +1,4 (team 4),Chaser by 0:25,£0,C,12
27/02/2019,P3,Josephine,"£6,000",Anne Hegerty,"-£1,000","£36,000","£6,000 =",Home +2,4 (team 4),Chaser by 0:25,£0,C,12
27/02/2019,P4,Darren,"£4,000",Anne Hegerty,"-£4,000","£44,000","£4,000 =",Home +3,3 (team 4),Chaser by 0:25,£0,C,12
28/02/2019,P1,Linda,"£2,000",Mark Labbett,"£1,000","£20,000","£1,000 \/",Home +4,5 (team 4),Team by 4,"£11,500",T,12
28/02/2019,P2,Sarah,"£3,000",Mark Labbett,"£1,000","£30,000","£3,000 =",Home +2,1 (team 4),Team by 4,"£11,500",T,12
28/02/2019,P3,Roddy,"£6,000",Mark Labbett,"-£1,000","£36,000","£36,000 /\",Home +2,6 (team 4),Team by 4,"£11,500",T,12
28/02/2019,P4,Penny,"£6,000",Mark Labbett,"-£4,000","£40,000","£6,000 =",Home +2,3 (team 4),Team by 4,"£11,500",T,12
01/03/2019,P1,Kyle,"£2,000",Shaun Wallace,£200,"£20,000","£2,000 =",Caught -4,,Chaser by 0:28,£0,,12
