Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
10/09/2012,85.0,"Val, Malcolm, Lucy, Dave",Paul Sinha,2,12000.0,17,5,False,True,12,0
11/09/2012,86.0,"Pete, Helen, Kate, Paul",Mark Labbett,2,8000.0,21,5,False,False,0,3
12/09/2012,87.0,"Keith, Julie, Jon, Laura",Anne Hegerty,0,4000.0,12,5,False,True,20,0
13/09/2012,88.0,"Roy, Nicola, Tommy, Mary",Shaun Wallace,3,45000.0,23,5,False,False,0,2
14/09/2012,89.0,"Chris, Cliff, Debbie, Charlotte",Paul Sinha,4,36000.0,19,5,False,True,14,0
17/09/2012,90.0,"Anne-Marie, Guy, Steph, Rich",Shaun Wallace,3,12000.0,18,5,False,False,0,3
18/09/2012,91.0,"Sohail, Liz, Ellie, Matt",Anne Hegerty,2,5000.0,10,5,False,True,82,0
19/09/2012,92.0,"Julie, Simon, Kim, Tony",Paul Sinha,2,13000.0,15,5,False,True,41,0
20/09/2012,93.0,"Ben, Gordon, Jane, Afton",Shaun Wallace,3,8000.0,20,5,False,True,5,0
21/09/2012,94.0,"Lauren, Melanie, Wendy, Jeff",Mark Labbett,2,50000.0,18,5,False,True,31,0
24/09/2012,95.0,"Sam, Richard, Sarah, Wendy",Shaun Wallace,3,12000.0,17,5,False,True,24,0
25/09/2012,96.0,"Adnan, Richard, Lynn, Andy",Mark Labbett,2,12000.0,21,5,False,False,0,5
26/09/2012,97.0,"Kerry, Martin, Jo, Emma",Anne Hegerty,1,7000.0,17,5,False,True,46,0
27/09/2012,98.0,"Sam, Mary, Mark, Carole",Paul Sinha,2,32000.0,17,5,False,True,54,0
28/09/2012,99.0,"Beverley, Martin, John, Jo",Mark Labbett,2,4000.0,16,5,False,True,26,0
01/10/2012,100.0,"Angie, Richard, Lisa, Liz",Paul Sinha,3,19000.0,18,5,False,True,20,0
02/10/2012,101.0,"Melinda, James, Michael, Matt",Anne Hegerty,2,8000.0,22,5,False,False,0,5
03/10/2012,102.0,"Michael, Kate, Adrian, Sophie",Shaun Wallace,3,3000.0,19,5,False,True,14,0
04/10/2012,103.0,"Brian, Chris, Natalie, Michelle",Paul Sinha,3,13000.0,19,5,False,True,34,0
05/10/2012,104.0,"John, Claire, Holly, Andy",Mark Labbett,1,5000.0,20,5,False,False,0,1
08/10/2012,105.0,"Laura, Jas, Jane, Ian",Paul Sinha,3,9000.0,17,5,False,True,14,0
09/10/2012,106.0,"Nicki, Linda, Jon, Andy",Shaun Wallace,2,11000.0,20,5,False,False,0,1
10/10/2012,107.0,"Sally, Brian, Joanna, Jill",Anne Hegerty,1,30000.0,18,5,False,True,27,0
11/10/2012,108.0,"Nick, Caroline, Linda, John",Paul Sinha,4,16000.0,19,5,False,False,0,2
12/10/2012,109.0,"Clare, Roger, Sue, Darren",Mark Labbett,1,4000.0,12,5,False,True,52,0
